GRID_ID.1,STARTweek_stravaDATE_cast,GRID_ID,ENDweek_stravaDATE_cast,SUM_total_trip_count,EcoCntr_weekly_SUM,MAX_slopePct,STARTweek_Time,HEXid_weekID,HEXid_WeekID,ENDweek_Time,week_id,week_start
BE-19,2021-09-06,BE-19,2021-09-12 23:59:00,17975.0,7448,,2021-09-06,BE-19_140,BE-19_140,2021-09-12 23:59:00,BE-19_140,2021-09-06
BC-12,2022-03-28,BC-12,2022-04-03 23:59:00,8635.0,1703,,2022-03-28,BC-12_169,BC-12_169,2022-04-03 23:59:00,BC-12_169,2022-03-28
BH-26,2023-04-17,BH-26,2023-04-23 23:59:00,3365.0,959,,2023-04-17,BH-26_224,BH-26_224,2023-04-23 23:59:00,BH-26_224,2023-04-17
BE-15,2023-12-11,BE-15,2023-12-17 23:59:00,17195.0,2967,,2023-12-11,BE-15_258,BE-15_258,2023-12-17 23:59:00,BE-15_258,2023-12-11
BK-32,2022-05-16,BK-32,2022-05-22 23:59:00,2605.0,3797,,2022-05-16,BK-32_176,BK-32_176,2022-05-22 23:59:00,BK-32_176,2022-05-16
BH-24,2019-09-09,BH-24,2019-09-15 23:59:00,1650.0,2326,,2019-09-09,BH-24_36,BH-24_36,2019-09-15 23:59:00,BH-24_36,2019-09-09
BD-26,2019-08-26,BD-26,2019-09-01 23:59:00,330.0,1276,,2019-08-26,BD-26_34,BD-26_34,2019-09-01 23:59:00,BD-26_34,2019-08-26
BL-36,2020-08-24,BL-36,2020-08-30 23:59:00,4090.0,1798,,2020-08-24,BL-36_86,BL-36_86,2020-08-30 23:59:00,BL-36_86,2020-08-24
BD-17,2019-07-08,BD-17,2019-07-14 23:59:00,1320.0,1045,,2019-07-08,BD-17_27,BD-17_27,2019-07-14 23:59:00,BD-17_27,2019-07-08
BL-36,2020-06-01,BL-36,2020-06-07 23:59:00,4565.0,2549,,2020-06-01,BL-36_74,BL-36_74,2020-06-07 23:59:00,BL-36_74,2020-06-01
BC-12,2023-09-04,BC-12,2023-09-10 23:59:00,9910.0,4612,,2023-09-04,BC-12_244,BC-12_244,2023-09-10 23:59:00,BC-12_244,2023-09-04
